organization_name,contact_name,email,domain,role_title,sector,region,buyer_type,likely_need,product_angle,evidence_url,evidence_note,source,priority_score,confidence,recommended_message_angle,risk_flags
CeBiB,,,cebib.cl,Director / contacto institucional,Universidades e investigación,Región Metropolitana,centro_investigacion,Equipamiento de I+D y plataformas multiusuario,centrífugas refrigeradas; microcentrífugas; sonicadores; homogenizadores; incubadoras; balances,https://s3.amazonaws.com/documentos.anid.cl/centros/basales/esp/CEBIB_Esp.pdf,Ficha ANID del centro; contacto general visible en la ficha,ficha_centro_ANID,91,alta,Enfocar en renovación y expansión de equipamiento multiusuario para biotecnología aplicada con soporte local,lead_status=net_new_candidate
Centro de Biotecnología Universidad de Concepción,,dircbudec@udec.cl,udec.cl,Contacto institucional,Universidades e investigación,Biobío,centro_investigacion,Servicios y proyectos de biotecnología,centrífugas; microcentrífugas; sonicadores; homogenizadores; balances; incubadoras,https://www.centrodebiotecnologia.udec.cl/pages/contact,Página oficial de contacto del centro,sitio_oficial,88,alta,Proponer equipos robustos para plataformas de biotecnología y servicios analíticos,
Unidad de Desarrollo Tecnológico UdeC,,udt@udt.cl,udt.cl,Contacto institucional,Universidades e investigación,Biobío,centro_investigacion,Escalamiento y transferencia tecnológica,reactores; homogenizadores; sonicadores; balances; incubadoras,https://www2.udec.cl/udt/contacto/contacto.htm,Página oficial de contacto de UDT,sitio_oficial,90,alta,Posicionar equipos para escalamiento y preparación de muestra en proyectos de transferencia,
Centro EULA-Chile UdeC,Dr. Pablo Salgado,giba@udec.cl,udec.cl,Contacto académico / laboratorio,Universidades e investigación,Biobío,centro_investigacion,Laboratorios ambientales y de análisis de aguas,incubadoras; balances analíticas; centrífugas; sample prep; QC agua/ambiental,https://www.eula.cl/giba/fichas/dr-pablo-salgado/,Centro ambiental universitario con contacto público asociado,sitio_oficial,84,media,Destacar soluciones para laboratorio ambiental y análisis de aguas con servicio postventa,dominio_en_historial_origenlab
Centro de Biotecnología Vegetal UNAB,Reinaldo Campos,cenbioveg@unab.cl,unab.cl,Centro de Biotecnología Vegetal,Universidades e investigación,Región Metropolitana,centro_investigacion,Biotecnología vegetal y preparación de muestras,microcentrífugas; sonicadores; homogenizadores; balances; incubadoras,https://vinculacion.unab.cl/en/contact/,Directorio oficial UNAB con correo del centro,sitio_oficial,82,alta,Abrir conversación sobre equipamiento de apoyo a biología molecular y extracción/preparación de muestras,dominio_en_historial_origenlab
CREAS,,comunicaciones@creas.cl,creas.cl,Gerencia / contacto del centro,Universidades e investigación,Valparaíso,centro_investigacion,Desarrollo de alimentos saludables y prototipado,homogeneizadores; sonicadores; balances; incubadoras; sample prep,https://s3.amazonaws.com/documentos.anid.cl/centros/centros-regionales/esp/CREAS_Esp.pdf,Ficha ANID del centro con contacto público,ficha_centro_ANID,89,alta,Enfatizar equipamiento para desarrollo de alimentos y preparación de muestras en I+D aplicada,dominio_en_historial_origenlab
Advanced Mining Technology Center,,contacto@amtc.cl,amtc.cl,Contacto institucional,Universidades e investigación,Región Metropolitana,centro_investigacion,"Laboratorios de investigación minera, materiales y procesos",centrífugas; reactores; homogenizadores; sonicadores; balances; incubadoras,https://www.amtc.cl/,Sitio oficial con contacto público y evidencia de laboratorios,sitio_oficial,93,alta,Hablar de equipamiento para investigación minera aplicada y preparación de pulpas/muestras,lead_status=net_new_candidate
INTA Universidad de Chile,,investigacion@inta.uchile.cl,uchile.cl,Dirección de Investigación y Desarrollo,Universidades e investigación,Región Metropolitana,instituto_investigacion,Genómica aplicada y análisis de alimentos,microcentrífugas; centrifugación refrigerada; homogenizadores; balances; incubadoras,https://inta.uchile.cl/servicios/contacto,Página oficial de contacto INTA,sitio_oficial,90,alta,Priorizar propuesta para líneas de genómica aplicada y análisis de alimentos con soporte local,dominio_en_historial_origenlab
BIOREN-UFRO,,,ufro.cl,Solicitud de cotización / servicios especializados,Universidades e investigación,La Araucanía,centro_investigacion,"Genómica, proteómica, metabolómica y citometría",microcentrífugas; sonicadores; homogenizadores; balances; incubadoras,https://bioren.ufro.cl/servicios-especializados/,Sitio oficial de servicios especializados y solicitud de cotización,sitio_oficial,87,media,Orientar mensaje a plataformas multi-ómicas y preparación de muestras,lead_status=net_new_candidate; sin_email_publico
CCTVal,,infocctval@usm.cl,usm.cl,Contacto institucional,Universidades e investigación,Valparaíso,centro_investigacion,"Microfluídica, materiales avanzados e I+D aplicada,reactores; sonicadores; homogenizadores; balances; sample prep",https://cctval.cl/,Sitio oficial con correo público y servicios/laboratorios,sitio_oficial,86,alta,Ofrecer equipamiento para materiales, microfluídica y preparación de muestras,
