page,entity,source_evidence,expected,actual,severity,recommendation,owner_area
git,HEAD,git log,main aligned with catalog/commercial fixes,829e80d clean main,P3,none,ops
environment,API live,curl :8001,200 health,not reachable,P1,Start apps/api before operator session,ops
environment,Postgres mirror,ORIGENLAB_POSTGRES_URL,set for verify,missing locally,P1,Run mirror sync + verify on Render,email-pipeline
sqlite,canonical_gmail,emails.source_file gmail:contacto@,recent ingest,1132 rows latest 2026-05-27,—,Optional RUN_GMAIL_INGEST=1,email-pipeline
sqlite,CEAF deal totals,commercial_deal,gross 1499400 paid 1499400 net 1260000 EUR 363/218,matches,P0,none,commercial
sqlite,SERVA catalog history,catalog_product_commercial_history,BlueSlick 695k+EUR117 TEMED 545k+EUR31,4 rows correct,—,Sync catalog Postgres mirror,email-pipeline
warm,IKA Beatriz quote,subject RV10.70 beatriz@ika.net.br,supplier_quote_received,supplier_quote_received,—,none,classification
warm,IKA autoreply,RES Resposta automática,system_noise or auto_reply,supplier_quote_received,P1,Add autoreply sender/subject rule,classification
warm,RG Energía forward,Fwd/RV labdelivery origenlab,client_opportunity,client_opportunity,—,none,classification
warm,Sebastian Re serva,sebastian.rojas internal,internal_admin,internal_admin,—,none,classification
warm,CRTOP reactor,ariel@crtopmachine.com,supplier_quote_received once,supplier_quote_received x6 threads,P2,Thread dedup in warm queue,classification
warm,bounce ND,mailer-daemon@googlemail.com,bounce_problem not in default queue,bounce_problem only with include_noise,—,Keep include_noise=false,dashboard
warm,SERVA autoreply,Automatic reply order@serva.de,system_noise,system_noise,—,none,classification
deals,status labels,CommercialDealsTable,Spanish labels,raw logistics_pending needs_review,P1,Use dealStatusLabel in table,dashboard
deals,product lines,mirror commercial.deal,BlueSlick and TEMED listed,both in SQLite product_id join,—,Verify after Postgres sync,api
catalog,SERVA sold display,buildListOfferSummary,Vendido a CEAF · EUR cost,Sin oferta before 8069f6e fixed in code,—,Deploy dashboard + mirror,catalog
catalog,enelectroforesis,public_summary prose,en electroforesis,repair in API+parse if stored broken,P2,Regression test exists,catalog
tenders,equipment feed,GET /opportunities/equipment,rows from active CSV,0 reduced_mode CSV missing,P0,Restore equipment_first_operator_queue CSV,email-pipeline
today,equipment KPI,computeTodaySummaryCounts,meaningful tender count,0 when CSV missing,P1,Empty state explains feed down,dashboard
safety,gmail_url,commercialParse,gmail_url null in UI,null,—,none,dashboard
safety,send actions,dashboard0Safety,no compose,no compose,—,none,dashboard
refresh,catalog sync,refresh_render_dashboard_once.sh,catalog in daily path,separate scripts,P3,Phase 9D orchestration,email-pipeline
